dataset_name	sample_identifier_column	url_columns	bytes_columns	expected_size_of_one_file_in_bytes	checksum_columns	source_path	accession_method
1KG_ONT_VIENNA	sample_id	file_path	bytes	N/A	md5sum	datasets/1KG_ONT_VIENNA/1KG_ONT_VIENNA_manifest.tsv	
1000G_high_coverage	SAMPLE_NAME	ENA_FILE_PATH	N/A	17106336900	MD5SUM	datasets/1000G_high_coverage/1000G_2504_high_coverage.sequence.index	globus
1000G_high_coverage	SAMPLE_NAME	ENA_FILE_PATH	N/A	17106336900	MD5SUM	datasets/1000G_high_coverage/1000G_698_related_high_coverage.sequence.index.txt	globus
simons_genome_diversity_project	sample_accession	fastq_ftp	fastq_bytes	N/A	fastq_md5	datasets/simons_genome_diversity_project/study_PRJEB9586/study_PRJEB9586.index.filtered	
simons_genome_diversity_project	sample_accession	submitted_ftp|submitted_aspera|generated_ftp|generated_aspera	submitted_bytes|generated_bytes	N/A	submitted_md5|generated_md5	datasets/simons_genome_diversity_project/study_ERP010710/study_ERP010710.index	
ATAC-seq_LCL_100	sample_accession	submitted_ftp|submitted_aspera|generated_ftp|generated_aspera	submitted_bytes|generated_bytes	N/A	submitted_md5|generated_md5	datasets/ATAC-seq_LCL_100/study_PRJEB28318/study_PRJEB28318.index	
2023_OLR_NATCOMM	Sample	AIRR-seq Accession|Pacific Biosciences Sequencing Data Accession	N/A	N/A	N/A	datasets/2023_OLR_NATCOMM/2023_OLR_NATCOMM_Supplementary_Data_1.tsv	
human_genome_diversity_project	SAMPLE_NAME	ENA_FILE_PATH	N/A	4060180374	MD5SUM	datasets/human_genome_diversity_project/hgdp_wgs.sequence.index	globus
2026_Light_EE_NatComm	sample_name	filename	N/A	N/A	N/A	datasets/2026-Light_EE_NatComm/metadata-15346978-processed-ok (2).tsv	
platinum_pedigree	primary_id	url	bytes	N/A	checksum	datasets/platinum_pedigree/make_index_file_for_platinum_pedigree.tsv	s3
