analysis_accession	study_accession	sample_accession	analysis_type	tax_id	scientific_name	submitted_ftp
ERZ125633	PRJEB9586	SAMEA3302684	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125633/srt.aln.bam
ERZ125613	PRJEB9586	SAMEA3302816	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125613/srt.aln.bam
ERZ125658	PRJEB9586	SAMEA3302884	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125658/srt.aln.bam
ERZ125623	PRJEB9586	SAMEA3302758	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125623/srt.aln.bam
ERZ312765	PRJEB9586	SAMEA3302693	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam.bai
ERZ125635	PRJEB9586	SAMEA3302718	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125635/srt.aln.bam
ERZ125639	PRJEB9586	SAMEA3302883	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125639/srt.aln.bam
ERZ312768	PRJEB9586	SAMEA3302636	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam.bai
ERZ125651	PRJEB9586	SAMEA3302722	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125651/srt.aln.bam
ERZ125659	PRJEB9586	SAMEA3302711	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125659/srt.aln.bam
ERZ312769	PRJEB9586	SAMEA3449876	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam.bai
ERZ125661	PRJEB9586	SAMEA3302729	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125661/srt.aln.bam
ERZ125663	PRJEB9586	SAMEA3302707	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125663/srt.aln.bam
ERZ312771	PRJEB9586	SAMEA3302892	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam.bai
ERZ312773	PRJEB9586	SAMEA3302865	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam.bai
ERZ312767	PRJEB9586	SAMEA3302656	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312767/LP6005441-DNA_A01.srt.aln.bam.bai
