primary_id	data_type	platform	bytes	checksum	url
NA12889	sequencing_reads	hifi	154505238613	6e262214cec87abbc6f157a6a2f7dcf7-9210	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12889.CHM13.haplotagged.bam
NA12889	sequencing_reads	hifi	9286736	6c1c4d324991635f6a3ff98a0ea777d8-2	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12889.CHM13.haplotagged.bam.bai
NA12889	sequencing_reads	hifi	164977237883	2decd82450dfa22c2860f94640aed7f3-9834	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12889.GRCh38.haplotagged.bam
NA12889	sequencing_reads	hifi	10162016	06aeb93fae40c596eefdab8f44a7c322-2	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12889.GRCh38.haplotagged.bam.bai
NA12890	sequencing_reads	hifi	117794735483	f31a81fe6e4c592cde0b8dc0508533cc-7022	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12890.CHM13.haplotagged.bam
NA12890	sequencing_reads	hifi	7128560	98b34107f5d3cbf9cfef9c8d8f4d9799	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12890.CHM13.haplotagged.bam.bai
NA12890	sequencing_reads	hifi	124741358577	d9c51ab5e118ef2cc809d38bf8f30f27-7436	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12890.GRCh38.haplotagged.bam
NA12890	sequencing_reads	hifi	7749864	d6a609f93a32255328df79d3200b9594	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12890.GRCh38.haplotagged.bam.bai
NA12891	sequencing_reads	hifi	107087341591	83c6f3bd0244c59aec6fac6363ecd8c9-6383	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12891.CHM13.haplotagged.bam
NA12891	sequencing_reads	hifi	6347128	53831d8352dcc87c16c594a887c81063	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12891.CHM13.haplotagged.bam.bai
NA12891	sequencing_reads	hifi	113723421000	bd66b99655a66afeb4c5a8bc1e8b3218-6779	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12891.GRCh38.haplotagged.bam
NA12891	sequencing_reads	hifi	6957584	2c464944916f28bb2f4a8f6e24cf3e8d	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12891.GRCh38.haplotagged.bam.bai
NA12892	sequencing_reads	hifi	139201595604	4b51c5bf88e9ae2d96497c6b7eabd620-8298	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12892.CHM13.haplotagged.bam
NA12892	sequencing_reads	hifi	8907656	277cde22aea46d680e651f3e4cf3b3d8-2	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12892.CHM13.haplotagged.bam.bai
NA12892	sequencing_reads	hifi	147934684664	95d4786a46ec218809da1300deb47b5b-8818	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12892.GRCh38.haplotagged.bam
NA12892	sequencing_reads	hifi	9648576	f0c1ca72c372e39da3f83235b1275df4-2	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12892.GRCh38.haplotagged.bam.bai
NA12877	sequencing_reads	hifi	223647112105	d06d1e7901504ad424c96f9e2157fe92-6666	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12877.CHM13.haplotagged.bam
NA12877	sequencing_reads	hifi	26758400	76949cb88235ffe908d3a3b9aa51f9e7-4	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12877.CHM13.haplotagged.bam.bai
NA12877	sequencing_reads	hifi	236230898991	f3ffaa6229df1d420bc0ee392dde7f03-7041	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12877.GRCh38.haplotagged.bam
NA12877	sequencing_reads	hifi	27970888	d1bf6789364c1d6e090e01cc4e3049b3-4	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12877.GRCh38.haplotagged.bam.bai
NA12878	sequencing_reads	hifi	203640216494	1b4553743c325a8ca9a6d105c0a437eb-6069	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12878.CHM13.haplotagged.bam
NA12878	sequencing_reads	hifi	37783472	b8da14c8fd291ee149b361f62d168b56-5	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12878.CHM13.haplotagged.bam.bai
NA12878	sequencing_reads	hifi	59526406976	ad21a89a5a7e910e7c07fcb032fd565d-7097	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12878-cell-line-revio.GRCh38.haplotagged.bam
NA12878	sequencing_reads	hifi	6663840	ab73ead85a27f18a414d096f378c505f	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12878-cell-line-revio.GRCh38.haplotagged.bam.bai
NA12878	sequencing_reads	hifi	211903029094	298959093b076a0113fafd87140d2ce8-6316	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12878.GRCh38.haplotagged.bam
NA12878	sequencing_reads	hifi	38805104	b978d099d60eef4335560fa145ff7109-5	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12878.GRCh38.haplotagged.bam.bai
NA12879	sequencing_reads	hifi	79843971041	a0a0ea9894c4a9e79c33009d945843b3-9519	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12879.CHM13.haplotagged.bam
NA12879	sequencing_reads	hifi	17063016	21905413d5825f0fb067b614e604a165-3	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12879.CHM13.haplotagged.bam.bai
NA12879	sequencing_reads	hifi	84411300142	a7649910f09b19f915506f449e2d2cf4-5032	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12879.GRCh38.haplotagged.bam
NA12879	sequencing_reads	hifi	17520736	dd3c02b0196ea4a199be5d4acd3a0c9a-3	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12879.GRCh38.haplotagged.bam.bai
NA12881	sequencing_reads	hifi	67444344787	a655013455db6aebcd67b84269f5fb31-8040	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12881.CHM13.haplotagged.bam
NA12881	sequencing_reads	hifi	7149432	5230b96bcc2f3dae46bf7711ffb7aa8b	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12881.CHM13.haplotagged.bam.bai
NA12881	sequencing_reads	hifi	70304931185	6edb332ba3f9603c7ca46c93cbdce178-8382	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12881.GRCh38.haplotagged.bam
NA12881	sequencing_reads	hifi	7668496	02d78602ee3b121deeca2f41a8b12089	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12881.GRCh38.haplotagged.bam.bai
NA12882	sequencing_reads	hifi	72206861383	9a7787e0891230000350032b8235c7e7-8608	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12882.CHM13.haplotagged.bam
NA12882	sequencing_reads	hifi	30772392	e2b52d10ab103fb239abca05b174c485-4	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12882.CHM13.haplotagged.bam.bai
NA12882	sequencing_reads	hifi	75360852205	7396d770fe9e5a2476d52b6f40815127-8984	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12882.GRCh38.haplotagged.bam
NA12882	sequencing_reads	hifi	31119472	c3dda9fe1b48ba3dd460b346741bb303-4	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12882.GRCh38.haplotagged.bam.bai
NA12885	sequencing_reads	hifi	112017115697	fd1baee4e380f0f2c61c2470c9447a62-6677	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12885.CHM13.haplotagged.bam
NA12885	sequencing_reads	hifi	59991352	0fbc908e6e0aa9329812b5853c5f7df9-8	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/NA12885.CHM13.haplotagged.bam.bai
NA12885	sequencing_reads	hifi	116170020202	5ae51a95a50cb3b3ea1445ead03e0f8d-6925	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12885.GRCh38.haplotagged.bam
NA12885	sequencing_reads	hifi	60279400	0815c2a07d57edb8a04b572e49f990e0-8	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12885.GRCh38.haplotagged.bam.bai
NA12886	sequencing_reads	hifi	54197709216	902d3b388379dbc417602740326627e2-6461	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12886.GRCh38.haplotagged.bam
NA12886	sequencing_reads	hifi	20757024	e4e7496e2a2653c54f7dbd2934f4890f-3	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/NA12886.GRCh38.haplotagged.bam.bai
200080	sequencing_reads	hifi	51931823341	29d14183cff3361828cd591a9286e344-6191	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200080.CHM13.haplotagged.bam
200080	sequencing_reads	hifi	7749328	3ee17997c4fb1ab46026451ec14b3f46	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200080.CHM13.haplotagged.bam.bai
200080	sequencing_reads	hifi	53411345291	93fc90642a3942a9d41bbb9a4a4a645a-6368	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200080.GRCh38.haplotagged.bam
200080	sequencing_reads	hifi	8247760	0e5d038ca6cad4ff9b1fde620c681294	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200080.GRCh38.haplotagged.bam.bai
200082	sequencing_reads	hifi	59921501748	ac692d372ce8d44fdb5ac7d49e984948-7144	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200082.CHM13.haplotagged.bam
200082	sequencing_reads	hifi	6851920	1e7b34f4f3c33e8f4174aa7c94bd122b	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200082.CHM13.haplotagged.bam.bai
200082	sequencing_reads	hifi	62081117667	84208e0dab2c5255434f778bc28ec985-7401	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200082.GRCh38.haplotagged.bam
200082	sequencing_reads	hifi	7527952	e1a5db949bb7f1fa9250af03ea9bba92	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200082.GRCh38.haplotagged.bam.bai
200084	sequencing_reads	hifi	78039309779	ce5851c2524af37271ebcecfe6e441eb-9304	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200084.CHM13.haplotagged.bam
200084	sequencing_reads	hifi	7967480	3bace7851054282300550f19a181e850	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200084.CHM13.haplotagged.bam.bai
200084	sequencing_reads	hifi	80963193190	c7b68c01cb7a281e2dcfc89e40691093-9652	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200084.GRCh38.haplotagged.bam
200084	sequencing_reads	hifi	8685944	0abdda3d12c9d2d8da3103482c611239-2	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200084.GRCh38.haplotagged.bam.bai
200085	sequencing_reads	hifi	71989024833	1e2d41faefc0d8857c338b4166226f89-8582	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200085.CHM13.haplotagged.bam
200085	sequencing_reads	hifi	6561352	4619cd64bd4e2ccaa7ecb966eb10a4e5	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200085.CHM13.haplotagged.bam.bai
200085	sequencing_reads	hifi	75968291072	df6bcecf7c4b939561acb75c213de25a-9057	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200085.GRCh38.haplotagged.bam
200085	sequencing_reads	hifi	7253080	f5b0ca6918dde50931888cd2ebfa4337	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200085.GRCh38.haplotagged.bam.bai
200086	sequencing_reads	hifi	55114613069	3030e4d83b07b2108507a106425ec808-6571	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200086.CHM13.haplotagged.bam
200086	sequencing_reads	hifi	9438336	300af8e6c0d49683777cddc5af19e702-2	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200086.CHM13.haplotagged.bam.bai
200086	sequencing_reads	hifi	56110145604	6e2a10996c885874cb379dc56f716f55-6689	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200086.GRCh38.haplotagged.bam
200086	sequencing_reads	hifi	9964040	a746971082fc6c304f844e2bd2cb1011-2	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200086.GRCh38.haplotagged.bam.bai
200087	sequencing_reads	hifi	57120704552	9e61e0634fd6bb05d43c5ef5604e9bd9-6810	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200087.CHM13.haplotagged.bam
200087	sequencing_reads	hifi	6405688	1d0b81989c8ccaa3c2c574568ec21061	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200087.CHM13.haplotagged.bam.bai
200087	sequencing_reads	hifi	58818686866	cf8369bdc26678f64b7556c9742bf68b-7012	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200087.GRCh38.haplotagged.bam
200087	sequencing_reads	hifi	6886104	4fddfaa589debac29e844ca076be322d	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200087.GRCh38.haplotagged.bam.bai
200100	sequencing_reads	hifi	75138517311	bcda2dd30320f6ab920a1e9b95f1fc32-8958	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200100.CHM13.haplotagged.bam
200100	sequencing_reads	hifi	32000192	2dbc542177555651496df4fa8b01d00a-4	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200100.CHM13.haplotagged.bam.bai
200100	sequencing_reads	hifi	76309734310	43787d81b19658fb3bd47760058e034a-9097	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200100.GRCh38.haplotagged.bam
200100	sequencing_reads	hifi	32336976	b05a64733d2198c2e219df325d1ce07e-4	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200100.GRCh38.haplotagged.bam.bai
200101	sequencing_reads	hifi	71816359929	cc817b32add95fb8f7ac049adb0fe3de-8562	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200101.CHM13.haplotagged.bam
200101	sequencing_reads	hifi	40368552	a010da6198c76603e67459f73b910ef9-5	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200101.CHM13.haplotagged.bam.bai
200101	sequencing_reads	hifi	73249064128	c97a688966bc44ebc58fae9e4a45ef2e-8732	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200101.GRCh38.haplotagged.bam
200101	sequencing_reads	hifi	40531216	6a1d668973db58046d9f3aebc7dd630d-5	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200101.GRCh38.haplotagged.bam.bai
200102	sequencing_reads	hifi	81629257349	55d196be7011d7e843ef6f57c9cc2d50-9731	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200102.GRCh38.haplotagged.bam
200102	sequencing_reads	hifi	39762448	3dd952293d48bb5826ba41d7b4100e6a-5	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200102.GRCh38.haplotagged.bam.bai
200104	sequencing_reads	hifi	65851568423	cdc919d18b3545104cba1d19e0af58f4-7851	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200104.GRCh38.haplotagged.bam
200104	sequencing_reads	hifi	28236560	211c4cc81db04c6087ad3bf0c40af237-4	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200104.GRCh38.haplotagged.bam.bai
200106	sequencing_reads	hifi	58763005230	48429d230a57978c8058ec4c23a96e7c-7006	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200106.CHM13.haplotagged.bam
200106	sequencing_reads	hifi	22605944	b4240fcd1942fa27aad23e47e82a1741-3	s3://platinum-pedigree-data/data/hifi/mapped/CHM13/200106.CHM13.haplotagged.bam.bai
200106	sequencing_reads	hifi	59816777913	eeed3054537052ba16668c3e181c8fe2-7131	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200106.GRCh38.haplotagged.bam
200106	sequencing_reads	hifi	22974776	58066f555267df0fce82d96565aaefb1-3	s3://platinum-pedigree-data/data/hifi/mapped/GRCh38/200106.GRCh38.haplotagged.bam.bai
