analysis_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	analysis_type	reference_genome	pipeline_name	pipeline_version	cell_type	tissue_type	disease	dev_stage	host	host_sex	age	experimental_factor	first_public	submitted_ftp	submitted_md5	submitted_bytes	submitted_aspera	generated_ftp	generated_md5	generated_bytes	generated_aspera
ERZ125633	PRJEB9586	SAMEA3302684		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125633/srt.aln.bam	99195b1a52e081fc1271e107880308d7	106696517047	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125633/srt.aln.bam				
ERZ125658	PRJEB9586	SAMEA3302884		9606	Homo sapiens	REFERENCE_ALIGNMENT												2015-10-08	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ125/ERZ125658/srt.aln.bam	787195dec2b2c78a3ca40c57213ec45f	102680216940	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ125/ERZ125658/srt.aln.bam				
ERZ312765	PRJEB9586	SAMEA3302693		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam.bai	44acc1574379e632a2015a0d8514d6fc;0ccf69c3d139002bb807f29b06a327a9	96070812008;8909032	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312765/LP6005442-DNA_D02.srt.aln.bam.bai				
ERZ312768	PRJEB9586	SAMEA3302636		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam.bai	e0f72205189372a831efd4612328ac12;ddd48cf7bc9e333544621d72f3c31f02	95958195090;8860136	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312768/LP6005441-DNA_A03.srt.aln.bam.bai				
ERZ312769	PRJEB9586	SAMEA3449876		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam.bai	ffdb040502b026e893ea8793ea5ecfd8;cf53960a1e84b7d087ff08bfc60df83e	175968510373;8984992	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312769/LP6005441-DNA_A06.srt.aln.bam.bai				
ERZ312771	PRJEB9586	SAMEA3302892		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam.bai	cc85a98020a7b1aca26e1ee671479956;38e593e5a6653c14e5244743fb781381	95608364592;8884648	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312771/LP6005441-DNA_A10.srt.aln.bam.bai				
ERZ312773	PRJEB9586	SAMEA3302865		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam.bai	e0616dec9688decc98800d7a2da3ce2c;df46958921c8c21e7ec76296f0643654	107016691975;8836072	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312773/LP6005441-DNA_A12.srt.aln.bam.bai				
ERZ312777	PRJEB9586	SAMEA3302828		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam.bai	272f0289880d2ce9d066a40e9f597236;0fcf47ffc2382bea01458913171b5efe	103582663647;8894352	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312777/LP6005441-DNA_B05.srt.aln.bam.bai				
ERZ312778	PRJEB9586	SAMEA3302855		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam.bai	5c7b5380468aa47269fccaeb1a69d7df;44ab4f19ecc703bce99ad344fc68b6f1	210053244369;9017672	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312778/LP6005441-DNA_B06.srt.aln.bam.bai				
ERZ312796	PRJEB9586	SAMEA3302639		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam.bai	d7853671c860a8a9fb16d8705d780185;426ae429e80f516bff412040735995a0	101442871385;8834568	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312796/LP6005441-DNA_D10.srt.aln.bam.bai				
ERZ312799	PRJEB9586	SAMEA3302823		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam.bai	15c9684f49c6cc810aa47560e27058de;98b39eef8b13b0b7be17715767bc7345	106287061017;8879464	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312799/LP6005441-DNA_E02.srt.aln.bam.bai				
ERZ312801	PRJEB9586	SAMEA3302731		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam.bai	e1ccbdf9f89111041e54f81f11af8a29;3106c31c1cf757bce3efaa1aa8956760	165709137130;8927488	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312801/LP6005441-DNA_E05.srt.aln.bam.bai				
ERZ312803	PRJEB9586	SAMEA3302756		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam.bai	0b5f3ab547fe81e1c959d31a4b5f5c45;1dced4c99f0bf9ceef41ba5e21d8bb7d	86071735068;8861576	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312803/LP6005441-DNA_E07.srt.aln.bam.bai				
ERZ312806	PRJEB9586	SAMEA3302779		9606	Homo sapiens	REFERENCE_ALIGNMENT												2016-06-11	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam;ftp.sra.ebi.ac.uk/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam.bai	d425fa8f810f4c2f13c36a71e2224c23;069ad702cfaefa9f2e2337bb01bae517	104934985022;8855728	fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam;fasp.sra.ebi.ac.uk:/vol1/analysis/ERZ312/ERZ312806/LP6005441-DNA_E10.srt.aln.bam.bai				
