run_accession	fastq_ftp	fastq_bytes	fastq_md5	bam_ftp	bam_bytes	bam_md5	submitted_ftp	submitted_bytes	submitted_md5	sra_ftp	sra_bytes	sra_md5
ERR1019039	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019039/ERR1019039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1019039/ERR1019039_2.fastq.gz	44610642899;44622460954	e0a188ef85db03bb773e84af7084981f;bdce1c86ecda7a00fa749c55eba159a1				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019039/LP6005441-DNA_A09.bam	103099965547	2de7db640e1878b74aed932621aad54a			
ERR1019043	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019043/ERR1019043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019043/ERR1019043_2.fastq.gz	44077571952;43800591483	c4d62e5c657d7feb7c668613413c74aa;1e3d6d2ac4d2ee6617a37e42c21d89dc				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019043/LP6005441-DNA_F01.bam	100672235333	0c379d5abc7766d3c476e0cad0d6dd7d			
ERR1019046	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019046/ERR1019046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019046/ERR1019046_2.fastq.gz	40795820649;40600643676	43ff7be99111d924552ff87d4ee28b3d;0a02533443ab8701c9dbf8379854ff2a				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019046/LP6005441-DNA_D02.bam	91132340874	02fae442528aeaa60b3577fb83612c94			
ERR1019048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019048/ERR1019048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019048/ERR1019048_2.fastq.gz	46245526102;46148558206	8545760cb6ceda472a5eafb47117f4e3;af97d793888f61613f921fa8545f1d7e				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019048/LP6005441-DNA_B03.bam	104591117663	447e7704d4aee9ae1ac36ab2f03a0f8a			
ERR1019053	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019053/ERR1019053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/003/ERR1019053/ERR1019053_2.fastq.gz	47656572571;47409474933	b4a74b70718b0c245712d23d825c1d5d;ce70ba1e8f3ed4bf070712750cc0a36d				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019053/LP6005441-DNA_A05.bam	110117600067	40fa1b4b3b1c3bc0e7868b155bbb3ba8			
ERR1019056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019056/ERR1019056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/006/ERR1019056/ERR1019056_2.fastq.gz	47697027939;47017485633	daab582c2173aaac19b8975accf23e01;e7279c282b4ae975279cc0722dd2d14a				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019056/LP6005441-DNA_C05.bam	108372982952	11df03b1438dc84518da70b22bd9a9bc			
ERR1019062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019062/ERR1019062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/002/ERR1019062/ERR1019062_2.fastq.gz	43620168424;43041873920	5a4f215aba06e323c6a14209d7488222;c8fff999cb248901b6dde00b7ef16c81				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019062/LP6005441-DNA_C09.bam	101081930464	4b5f6cb44e6127d518b4c70c3dad2a01			
ERR1019065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019065/ERR1019065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/005/ERR1019065/ERR1019065_2.fastq.gz	45027128326;44930972125	41b9a56f78df3cc943f28d07d3a7366f;63b8c1625748e58d3b13fcb98c40700a				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019065/LP6005441-DNA_D10.bam	101154547245	3e4f1ce09c4d2c4fce4dee646173bafc			
ERR1019067	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019067/ERR1019067_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/007/ERR1019067/ERR1019067_2.fastq.gz	47393873091;46719056861	6b51c81c823a9100eaca383129289869;4e1c24710de4df6c1f24b5ebddd20d51				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019067/LP6005441-DNA_B04.bam	106551885944	fb45e71c219ee3420e50d7b4b3c6a781			
ERR1019068	ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019068/ERR1019068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/008/ERR1019068/ERR1019068_2.fastq.gz	40801499593;40143249863	8d35bcadd6c314fdb4d4b00fdbceff21;135c27448885bea16cc7ef8c6065142f				ftp.sra.ebi.ac.uk/vol1/run/ERR101/ERR1019068/LP6005441-DNA_C11.bam	92043287794	874a6015ef3b8eb1f8ae0c5413d9f611			
